vault_en_path	site_url	flagged_terms	chars
Authors/Chesterton/Atomized/New_Jerusalem/Chapter_05/part_07.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/new-jerusalem#chapter-05--part-07	hottentot	4593
Authors/Chesterton/Atomized/New_Jerusalem/Chapter_11/part_01.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/new-jerusalem#chapter-11--part-01	chinamen	8343
Authors/Chesterton/Atomized/Poems/part/part_05.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/poems#part--part-05	chinamen	15014
Authors/Chesterton/Atomized/Poems/part/part_06.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/poems#part--part-06	niggards	15017
Authors/Chesterton/Atomized/Poems/part/part_08.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/poems#part--part-08	redskin	14955
Authors/Chesterton/Atomized/Poet_and_Lunatics/Story_02_THE_YELLOW_BIRD/part_02.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/poet-and-lunatics#story-02-the-yellow-bird--part-02	yellow peril	6277
Authors/Chesterton/Atomized/Robert_Browning/Chapter_01/part_01.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/robert-browning#chapter-01--part-01	negro	6472
Authors/Chesterton/Atomized/Robert_Browning/Chapter_01/part_02.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/robert-browning#chapter-01--part-02	negro,red indian	7071
Authors/Chesterton/Atomized/Sanity/Story_07_THE_SIMPLE_Truth_TRUTH/part_02.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/sanity#story-07-the-simple-truth-truth--part-02	negroes	4824
Authors/Chesterton/Atomized/Sanity/Story_13_THE_HOLIDAY_OF_THE_SLAVE/part_01.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/sanity#story-13-the-holiday-of-the-slave--part-01	red indian	6858
Authors/Chesterton/Atomized/Sanity/Story_16_THE_RELIGION_OF_SMALL_PROPERTY/part_03.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/sanity#story-16-the-religion-of-small-property--part-03	redskin	7158
Authors/Chesterton/Atomized/Shaw/Story_03_THE_IRISHMAN/part_03.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/shaw#story-03-the-irishman--part-03	red indian	5916
Authors/Chesterton/Atomized/Shaw/Story_05_THE_PROGRESSIVE/part_06.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/shaw#story-05-the-progressive--part-06	nigger	7602
Authors/Chesterton/Atomized/Shaw/Story_09_THE_LATER_PHASES/part_01.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/shaw#story-09-the-later-phases--part-01	negro,negroes	6959
Authors/Chesterton/Atomized/Shaw/Story_09_THE_LATER_PHASES/part_05.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/shaw#story-09-the-later-phases--part-05	negro	8110
Authors/Chesterton/Atomized/Spice_Of_Life/Chapter_05_AT_HOME_AND_ABROAD/part_06.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/spice-of-life#chapter-05-at-home-and-abroad--part-06	negro	6615
Authors/Chesterton/Atomized/St_Francis/Chapter_09/part_02.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/st-francis#chapter-09--part-02	red indian	6587
Authors/Chesterton/Atomized/TheAppOfTyranny/Chapter_02/part_02.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/theappoftyranny#chapter-02--part-02	chinaman,red indian	8178
Authors/Chesterton/Atomized/TheAppOfTyranny/Chapter_03/part_02.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/theappoftyranny#chapter-03--part-02	yellow peril	6108
Authors/Chesterton/Atomized/TheAppOfTyranny/Chapter_03/part_03.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/theappoftyranny#chapter-03--part-03	chinaman,hottentot,nigger	4593
Authors/Chesterton/Atomized/TheAppOfTyranny/Chapter_04/part_01.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/theappoftyranny#chapter-04--part-01	negro	6062
Authors/Chesterton/Atomized/TheAppOfTyranny/Chapter_04/part_02.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/theappoftyranny#chapter-04--part-02	niggers	8197
Authors/Chesterton/Atomized/TheAppOfTyranny/Chapter_05/part_01.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/theappoftyranny#chapter-05--part-01	negroes	6054
Authors/Chesterton/Atomized/TheAppOfTyranny/Chapter_05/part_04.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/theappoftyranny#chapter-05--part-04	hottentot	6082
Authors/Chesterton/Atomized/TheAppOfTyranny/Chapter_05/part_07.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/theappoftyranny#chapter-05--part-07	chinaman,negro,niggers	6057
Authors/Chesterton/Atomized/TheAppOfTyranny/Chapter_05/part_08.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/theappoftyranny#chapter-05--part-08	negroes	6072
Authors/Chesterton/Atomized/TheCrimesOfEngland/Chapter_10/part_01.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/thecrimesofengland#chapter-10--part-01	negroes	6058
Authors/Chesterton/Atomized/TheCrimesOfEngland/Chapter_10/part_12.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/thecrimesofengland#chapter-10--part-12	chinaman	6057
Authors/Chesterton/Atomized/TheCrimesOfEngland/Chapter_10/part_13.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/thecrimesofengland#chapter-10--part-13	red indian	6074
Authors/Chesterton/Atomized/TheCrimesOfEngland/Chapter_10/part_19.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/thecrimesofengland#chapter-10--part-19	red indian	6079
Authors/Chesterton/Atomized/The_Defendant/Story_04_A_DEFENCE_OF_RASH_VOWS.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-defendant#story-04-a-defence-of-rash-vows	negro	11244
Authors/Chesterton/Atomized/The_Flying_Inn/Chapter_01_A_SERMON_ON_INNS/part_01.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-flying-inn#chapter-01-a-sermon-on-inns--part-01	niggers	6104
Authors/Chesterton/Atomized/The_Flying_Inn/Chapter_07_THE_SOCIETY_OF_SIMPLE_SOULS/part_02.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-flying-inn#chapter-07-the-society-of-simple-souls--part-02	negro	6358
Authors/Chesterton/Atomized/The_Flying_Inn/Chapter_11_VEGETARIANISM_IN_THE_DRAWING_R/part_04.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-flying-inn#chapter-11-vegetarianism-in-the-drawing-r--part-04	coon	4906
Authors/Chesterton/Atomized/The_Flying_Inn/Chapter_12_VEGETARIANISM_IN_THE_FOREST/part_03.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-flying-inn#chapter-12-vegetarianism-in-the-forest--part-03	negro	6098
Authors/Chesterton/Atomized/The_Flying_Inn/Chapter_15_THE_songs_SONGS_OF_THE_CAR_CLU/part_02.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-flying-inn#chapter-15-the-songs-songs-of-the-car-clu--part-02	nigger	6868
Authors/Chesterton/Atomized/The_Flying_Inn/Chapter_24_THE_ENIGMAS_OF_LADY_JOAN/part_03.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-flying-inn#chapter-24-the-enigmas-of-lady-joan--part-03	nigger	6203
Authors/Chesterton/Atomized/The_Glass_Walking_Stick/Story_10_The_National_Anthem/part_05.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-glass-walking-stick#story-10-the-national-anthem--part-05	chinamen	4891
Authors/Chesterton/Atomized/The_Glass_Walking_Stick/Story_20_The_Rights_Of_Ritual.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-glass-walking-stick#story-20-the-rights-of-ritual	chinaman	7364
Authors/Chesterton/Atomized/The_Thing/Story_02_Is_HUMANISM_A_RELIGION/part_01.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-thing#story-02-is-humanism-a-religion--part-01	negro	6572
Authors/Chesterton/Atomized/The_Thing/Story_02_Is_HUMANISM_A_RELIGION/part_02.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-thing#story-02-is-humanism-a-religion--part-02	negro	7962
Authors/Chesterton/Atomized/The_Thing/Story_10_THE_EARLY_BIRD_IN_history_HISTORY/part_02.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-thing#story-10-the-early-bird-in-history-history--part-02	red indian	7467
Authors/Chesterton/Atomized/The_Thing/Story_21_ON_Courage_COURAGE_AND_INDEPENDENCE/part_01.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-thing#story-21-on-courage-courage-and-independence--part-01	niggardly	6754
Authors/Chesterton/Atomized/The_Thing/Story_22_THE_NORDIC_HINDOO/part_01.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-thing#story-22-the-nordic-hindoo--part-01	chinamen	6260
Authors/Chesterton/Atomized/The_Thing/Story_33_THE_SPIRIT_OF_CHRISTMAS/part_01.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-thing#story-33-the-spirit-of-christmas--part-01	negro	7142
Authors/Chesterton/Atomized/The_Thing/Story_33_THE_SPIRIT_OF_CHRISTMAS/part_02.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-thing#story-33-the-spirit-of-christmas--part-02	redskin	5481
Authors/Chesterton/Atomized/The_Uses_of_Diversity/Story_05_The_Domesticity_of_Detectives.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-uses-of-diversity#story-05-the-domesticity-of-detectives	yellow peril	8837
Authors/Chesterton/Atomized/The_Uses_of_Diversity/Story_07_The_Irishman.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-uses-of-diversity#story-07-the-irishman	chinaman,chinamen	7495
Authors/Chesterton/Atomized/The_Uses_of_Diversity/Story_11_The_Lawlessness_of_Lawyers.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-uses-of-diversity#story-11-the-lawlessness-of-lawyers	negroes	10373
Authors/Chesterton/Atomized/The_Uses_of_Diversity/Story_20_The_Silver_Goblets.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-uses-of-diversity#story-20-the-silver-goblets	negro,negroes,red indian	7453
Authors/Chesterton/Atomized/The_Uses_of_Diversity/Story_34_On_Historical_Novels.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/the-uses-of-diversity#story-34-on-historical-novels	negro	6790
Authors/Chesterton/Atomized/Tremendous_Trifles/Chapter_10.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/tremendous-trifles#chapter-10	chinaman	7323
Authors/Chesterton/Atomized/Tremendous_Trifles/Chapter_14.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/tremendous-trifles#chapter-14	niggers	6980
Authors/Chesterton/Atomized/Tremendous_Trifles/Chapter_18.md	https://gborghi.github.io/raccolta-letteratura-inglese/testi/chesterton/atomized/tremendous-trifles#chapter-18	negro	8150
